env;algo;exploration_strategy;smart_start;rise time;mean;std;max
GridWorldEasy;QLearning;Boltzmann;True;28241;0.0311479739485;0.00135523265643;0.0322580645161
GridWorldEasy;QLearning;Boltzmann;False;46441;0.0306549364614;0.00320625610948;0.0322580645161
GridWorldEasy;QLearning;E-Greedy;True;31605;0.0307407503525;0.00303462832723;0.0318670576735
GridWorldEasy;QLearning;E-Greedy;False;nan;nan;nan;0.0259955841351
GridWorldEasy;QLearning;Count-Based;True;8557;0.0309851005352;0.00254592796181;0.0322580645161
GridWorldEasy;QLearning;Count-Based;False;9514;0.0322580645161;0.0;0.0322580645161
GridWorldEasy;QLearning;UCB1;True;45921;0.031000695872;0.00251473728834;0.0322580645161
GridWorldEasy;QLearning;UCB1;False;60503;0.0307991788856;0.002917771261;0.0322580645161
GridWorldMedium;QLearning;Boltzmann;True;174843;0.0134361211392;0.000905535499398;0.0138888888889
GridWorldMedium;QLearning;Boltzmann;False;953700;0.0136754354354;0.000426906906907;0.0138888888889
GridWorldMedium;QLearning;E-Greedy;True;245116;0.0137426900585;0.000292397660819;0.0137426900585
GridWorldMedium;QLearning;E-Greedy;False;nan;nan;nan;0.0125853654709
GridWorldMedium;QLearning;Count-Based;True;40584;0.0134481344813;0.000881508815088;0.0138888888889
GridWorldMedium;QLearning;Count-Based;False;47129;0.0137809187279;0.000215940321947;0.0138888888889
GridWorldMedium;QLearning;UCB1;True;369434;0.0135829486398;0.000611880498214;0.0138888888889
GridWorldMedium;QLearning;UCB1;False;566795;0.0138888888889;1.73472347598e-18;0.0138888888889
GridWorldHard;QLearning;Boltzmann;True;505887;0.00692974752083;0.000633258581535;0.00724637681159
GridWorldHard;QLearning;Boltzmann;False;nan;nan;nan;0.00579710144928
GridWorldHard;QLearning;E-Greedy;True;924544;0.00699010250972;0.000462529716081;0.0072049689441
GridWorldHard;QLearning;E-Greedy;False;nan;nan;nan;0.0
GridWorldHard;QLearning;Count-Based;True;134527;0.00724637681159;0.0;0.00724637681159
GridWorldHard;QLearning;Count-Based;False;155108;0.00722567287785;4.14078674948e-05;0.00724637681159
GridWorldHard;QLearning;UCB1;True;1205586;0.00724637681159;0.0;0.00724637681159
GridWorldHard;QLearning;UCB1;False;9036045;0.00692202898551;0.000648695652174;0.00724637681159
GridWorldExtreme;QLearning;Boltzmann;True;3374630;0.00432793946021;0.000312730945048;0.00448430493274
GridWorldExtreme;QLearning;Boltzmann;False;nan;nan;nan;0.0
GridWorldExtreme;QLearning;E-Greedy;True;3691294;0.00436610249629;0.000236404872895;0.00448430493274
GridWorldExtreme;QLearning;E-Greedy;False;nan;nan;nan;0.0
GridWorldExtreme;QLearning;Count-Based;True;1511716;0.00445750882857;5.35922083397e-05;0.00448430493274
GridWorldExtreme;QLearning;Count-Based;False;1765568;0.00440007816582;8.04641592849e-06;0.00440542314047
GridWorldExtreme;QLearning;UCB1;True;6268545;0.00448430493274;0.0;0.00448430493274
GridWorldExtreme;QLearning;UCB1;False;nan;nan;nan;0.0
