env;exploration_strategy;smart_start;num_iter;num_episodes;max_steps;mean;std;steps
Easy;count-based;False;10;1000;2500;856.0;192.256599367;[977, 615, 990, 799, 1153, 722, 1163, 666, 663, 812]
Easy;count-based;True;10;1000;10000;828.9;114.652910997;[600, 793, 932, 971, 860, 882, 975, 827, 727, 722]
Easy;count-based;False;10;1000;25000;845.8;135.811486996;[718, 1058, 1044, 747, 798, 985, 666, 842, 711, 889]
Easy;count-based;True;10;1000;100000;817.1;96.2615707331;[817, 609, 891, 795, 795, 718, 914, 821, 969, 842]
Easy;random;False;10;1000;1000;2577.6;2902.57031612;[1895, 435, 1983, 7628, 898, 370, 913, 8857, 1971, 826]
Easy;count-based;False;10;1000;250;1134.2;220.807970871;[1401, 994, 1190, 1200, 1158, 954, 1216, 1188, 1421, 620]
Easy;random;False;10;1000;10000;2430.1;2295.76329137;[533, 2802, 8469, 1333, 2922, 2735, 596, 3581, 521, 809]
Easy;random;True;10;1000;50000;3347.7;2145.27522943;[8343, 3583, 4127, 699, 3188, 4818, 1881, 4197, 1084, 1557]
Easy;count-based;True;10;1000;5000;780.8;106.562469941;[927, 785, 744, 869, 674, 760, 900, 725, 563, 861]
Easy;count-based;False;10;1000;10000;793.3;203.144800573;[421, 646, 716, 1089, 812, 670, 1025, 1042, 868, 644]
Easy;random;False;10;1000;100000;3240.6;1607.52898574;[3069, 2907, 2840, 347, 1691, 4817, 6678, 3720, 2833, 3504]
Easy;count-based;True;10;1000;50000;828.6;144.710193145;[1118, 846, 803, 861, 833, 641, 633, 1014, 703, 834]
Easy;count-based;False;10;1000;100000;856.7;173.98393604;[1037, 718, 750, 1027, 1059, 750, 1121, 598, 744, 763]
Easy;count-based;False;10;1000;5000;878.6;138.771899173;[773, 790, 974, 753, 976, 812, 932, 1211, 821, 744]
Easy;random;False;10;1000;50000;2398.4;1344.97228224;[4032, 2087, 588, 3983, 2543, 997, 2150, 4291, 472, 2841]
Easy;count-based;False;10;1000;50000;741.0;116.521242698;[491, 753, 786, 721, 927, 746, 680, 869, 632, 805]
Easy;count-based;True;10;1000;25000;873.9;250.401457663;[675, 796, 1115, 814, 1012, 407, 852, 875, 794, 1399]
Easy;random;True;10;1000;25000;2871.6;1773.10452033;[4539, 5056, 2674, 5572, 1375, 3783, 3374, 627, 651, 1065]
Easy;random;True;10;1000;5000;2714.5;1296.79622532;[2309, 2638, 5184, 1581, 1462, 1278, 1858, 4640, 3767, 2428]
Easy;random;True;10;1000;100000;2963.7;3102.99548985;[931, 1045, 1609, 3113, 718, 5350, 10918, 691, 4531, 731]
Easy;random;False;10;1000;25000;3395.1;2487.00604945;[2725, 3895, 929, 1945, 1517, 3113, 8023, 372, 3712, 7720]
Easy;random;False;10;1000;5000;2753.2;4023.65748542;[1158, 4037, 372, 1372, 853, 1585, 14503, 1152, 1175, 1325]
Easy;random;True;10;1000;10000;2103.3;1675.8101951;[2749, 1096, 1223, 2116, 4970, 5452, 1084, 765, 1072, 506]
Easy;count-based;True;10;1000;1000;927.2;167.410155009;[649, 825, 832, 1151, 947, 1054, 1044, 898, 1162, 710]
Medium;random;True;10;1000;50000;9013.9;3660.88375806;[14588, 11967, 3600, 13972, 4436, 10295, 6435, 10790, 6878, 7178]
Easy;random;True;10;1000;2500;1954.1;692.603703426;[1541, 2590, 2568, 1514, 2560, 2752, 2179, 2044, 1316, 477]
Easy;count-based;False;10;1000;1000;812.9;104.127277886;[652, 863, 938, 783, 694, 738, 768, 789, 987, 917]
Easy;count-based;True;10;1000;2500;794.8;135.961612229;[770, 722, 655, 721, 1076, 751, 671, 744, 1029, 809]
Easy;random;False;10;1000;2500;1789.0;1881.12774686;[1133, 810, 593, 738, 1598, 544, 6382, 4384, 1240, 468]
Medium;random;False;10;1000;50000;8432.8;4863.98321954;[5054, 18397, 7303, 6441, 3174, 12903, 2269, 13223, 5414, 10150]
Easy;random;True;10;1000;500;1002.1;416.083272915;[957, 752, 566, 2137, 595, 1082, 909, 1074, 997, 952]
Medium;random;False;10;1000;10000;24017.5;19291.8270687;[3229, 25073, 7950, 56393, 35091, 31278, 56114, 5957, 13515, 5575]
Medium;random;True;10;1000;100000;7395.0;3085.34302793;[10245, 5782, 7804, 7646, 14301, 6410, 5330, 4720, 8972, 2740]
Easy;count-based;True;10;1000;500;723.4;93.9512639617;[840, 750, 548, 719, 837, 789, 610, 732, 626, 783]
Medium;random;False;10;1000;100000;13333.6;12976.5094706;[4421, 6248, 3928, 12513, 49080, 15493, 20827, 7197, 8201, 5428]
Easy;count-based;False;10;1000;500;926.3;203.622714843;[1162, 836, 874, 897, 1182, 665, 877, 636, 858, 1276]
Medium;count-based;False;10;1000;500;3645.5;505.669308936;[3375, 2856, 4388, 3453, 2947, 3862, 4391, 3940, 3838, 3405]
Easy;random;False;10;1000;500;13391.2;11277.1193024;[21302, 30321, 2984, 5462, 1443, 34764, 6959, 14752, 2981, 12944]
Medium;random;True;10;1000;25000;8778.1;6432.80979744;[25154, 15221, 3480, 6768, 4822, 6819, 8780, 1766, 7388, 7583]
Medium;random;False;10;1000;25000;10649.5;5884.95968126;[13908, 7936, 10223, 2795, 17331, 5415, 11032, 9043, 5365, 23447]
Medium;count-based;False;10;1000;5000;2368.5;618.640646903;[2642, 2163, 1701, 2161, 1982, 3797, 2214, 1847, 2024, 3154]
Medium;count-based;True;10;1000;10000;2025.4;317.280380736;[2633, 2046, 2586, 2113, 1873, 1862, 1692, 1716, 1804, 1929]
Medium;count-based;False;10;1000;10000;2296.3;392.95140921;[1708, 2420, 1806, 2500, 1747, 2935, 2706, 2409, 2345, 2387]
Easy;random;True;10;1000;1000;1604.6;1030.46069309;[1775, 954, 597, 3776, 980, 2136, 1068, 1127, 560, 3073]
Medium;count-based;True;10;1000;25000;2275.8;279.356331591;[2136, 2617, 2357, 1719, 1972, 2278, 2535, 2564, 2496, 2084]
Medium;count-based;False;10;1000;50000;2073.4;263.041137467;[2121, 2427, 1782, 1808, 2400, 2038, 1798, 2464, 2092, 1804]
Medium;count-based;False;10;1000;25000;2078.9;325.283399515;[2168, 2622, 2265, 1620, 2159, 1763, 1771, 1884, 2584, 1953]
Medium;count-based;True;10;1000;100000;2289.2;435.620890225;[2567, 2147, 2419, 3442, 2038, 2085, 1949, 1898, 2338, 2009]
Medium;count-based;True;10;1000;50000;2185.6;329.73662217;[2490, 2347, 1799, 2587, 2062, 2607, 2463, 1829, 1927, 1745]
Medium;count-based;False;10;1000;100000;2144.6;248.688238564;[2179, 2368, 1637, 2290, 2221, 1831, 1954, 2311, 2491, 2164]
Medium;count-based;True;10;1000;2500;2467.8;353.978473922;[2581, 2888, 2276, 1811, 2576, 2823, 2632, 2282, 2845, 1964]
Medium;random;True;10;1000;5000;6357.4;3711.01091887;[7343, 15986, 5384, 3282, 5631, 7830, 981, 5154, 5597, 6386]
Easy;random;False;10;1000;100;nan;nan;[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]
Medium;count-based;False;10;1000;2500;2212.5;594.35448177;[3309, 2087, 1896, 1805, 1767, 1683, 2321, 1990, 1874, 3393]
Medium;count-based;True;10;1000;5000;2275.7;373.609435106;[2996, 2419, 1778, 2786, 2091, 2417, 2108, 1958, 2331, 1873]
Medium;random;False;10;1000;100;nan;nan;[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]
Easy;count-based;True;10;1000;100;616.7;198.246336662;[892, 480, 749, 565, 275, 562, 780, 651, 862, 351]
